County,Total, 0-4, 5-9, 10-14, 15-19, 20-24, 25-29, 30-34, 35-39, 40-44
New Jersey,"9,665,800","562,100","547,500","579,100","632,200","655,100","633,900","601,700","588,500","534,100"
Atlantic,"285,900","17,300","16,400","17,600","18,300","20,500","19,000","18,100","17,900","16,100"
Bergen,"1,023,200","58,300","57,500","61,200","66,000","63,100","66,700","67,200","66,700","51,300"
Burlington,"479,200","26,500","27,000","27,400","29,100","30,900","30,300","28,600","29,600","27,700"
Camden,"528,700","30,200","30,300","32,200","33,900","33,800","31,300","29,000","32,500","32,000"
Cape May,"95,500","5,100","5,200","5,600","5,700","6,500","5,900","5,300","5,900","5,300"
Cumberland,"164,500","10,300","9,800","9,500","9,100","10,500","11,400","11,200","10,700","11,900"
Essex,"819,200","50,900","50,400","52,300","56,200","55,100","53,600","49,200","47,400","49,300"
Gloucester,"315,900","18,000","17,200","17,200","18,100","22,400","23,000","22,900","20,700","18,200"
Hudson,"780,600","46,100","47,400","54,900","59,700","54,900","45,800","39,800","38,200","45,200"
Hunterdon,"135,300","7,200","6,500","6,100","6,400","7,200","8,600","10,300","10,700","7,200"
Mercer,"397,100","21,900","21,500","24,400","30,900","32,700","25,100","22,400","23,500","22,200"
Middlesex,"928,900","52,300","50,700","56,400","67,400","69,700","62,500","55,600","52,700","51,800"
Monmouth,"666,200","38,500","37,300","37,000","39,200","39,700","42,100","44,100","46,600","37,000"
Morris,"557,900","32,300","29,800","30,400","34,400","35,100","38,200","39,200","38,200","26,600"
Ocean,"636,700","35,100","33,400","34,400","36,900","49,100","45,600","41,000","36,300","32,600"
Passaic,"541,800","35,600","33,400","35,300","38,000","37,700","35,100","32,600","29,900","31,800"
Salem,"65,200","3,400","3,400","3,700","3,900","4,200","4,000","3,700","3,600","3,700"
Somerset,"370,000","21,100","19,100","20,200","22,500","24,300","27,300","25,900","24,100","16,300"
Sussex,"156,200","8,800","8,100","7,500","8,200","8,900","10,400","11,200","11,200","8,700"
Union,"605,000","37,100","37,200","40,100","42,000","41,300","40,400","36,400","34,500","32,800"
Warren,"112,800","6,100","6,000","5,900","6,400","7,400","7,700","7,900","7,400","6,300"
